date_ymd,hotel_id,impression_count,click_count,booking_count,avg_cpc,avg_clicked_price,avg_length_of_stay,avg_time_to_travel
20190801,2832950,2070,34,3,1.45,222.02,1.74,29.29
20190805,2832950,1886,23,0,1.22,266.05,2.13,30.17
20190802,2832950,1676,20,1,1.4,234.37,1.8,13.0
20190804,2832950,1175,15,0,1.39,375.25,2.53,30.93
20190809,2832950,537,17,0,1.53,228.15,2.0,16.71
20190808,2832950,1802,34,2,1.45,230.36,1.91,27.32
20190807,2832950,5956,35,1,1.32,308.99,1.83,25.51
20190810,2832950,483,19,0,1.49,241.0,2.63,37.53
20190803,2832950,2164,30,1,1.39,266.45,1.53,17.6
20190806,2832950,1389,19,0,1.32,272.3,2.32,27.21
20190801,5476550,178,7,0,1.2,169.93,1.43,13.43
20190807,5476550,339,9,0,1.28,178.11,2.11,11.0
20190809,5476550,88,6,0,1.34,168.02,3.17,12.5
20190805,5476550,135,2,0,1.34,219.4,2.5,26.0
20190804,5476550,77,2,0,1.34,206.81,2.0,225.0
20190803,5476550,294,4,1,1.08,219.34,1.0,0.0
20190806,5476550,80,1,0,0.31,192.0,1.0,1.0
20190808,5476550,196,5,0,1.13,201.88,3.8,33.0
20190810,5476550,198,9,0,1.26,232.11,2.33,32.67
20190802,8177,155,6,0,1.28,122.11,1.17,88.67
20190806,8177,237,8,0,1.37,106.35,2.25,52.63
20190808,8177,109,3,0,1.13,96.41,18.0,15.33
20190805,8177,285,11,0,1.37,140.85,1.36,60.18
20190804,8177,754,11,0,1.1,128.22,4.18,75.91
20190801,8177,445,23,0,0.81,95.81,1.7,17.96
20190810,8177,69,4,0,1.32,103.05,1.0,1.75
20190807,8177,98,5,0,1.34,116.31,1.2,61.6
20190809,8177,152,4,0,0.98,120.52,1.75,84.75
20190803,8177,135,7,0,1.28,109.15,2.0,49.14
20190807,104565,79,4,0,0.72,95.58,3.75,78.75
20190803,104565,17,1,0,0.78,40.45,1.0,22.0
20190809,104565,30,2,0,0.99,36.7,3.5,58.0
20190802,104565,13,2,0,0.54,66.18,1.5,31.5
20190801,104565,5,1,0,0.43,49.38,5.0,79.0
20190806,104565,29,1,0,0.77,40.03,1.0,22.0
20190808,104565,37,6,0,0.79,55.59,2.83,65.83
20190804,104565,14,1,0,0.78,184.84,3.0,147.0
20190804,4985600,1232,4,0,2.12,215.76,2.5,35.75
20190807,4985600,1112,5,0,1.49,249.59,2.0,32.0
20190806,4985600,1562,3,0,2.02,311.25,1.33,26.33
20190802,4985600,1237,13,0,1.99,317.73,2.46,45.92
20190809,4985600,1234,6,0,2.17,261.21,3.83,8.33
20190810,4985600,801,7,0,2.13,255.89,3.43,16.14
20190805,4985600,1655,5,0,2.03,250.57,2.6,37.8
20190803,4985600,1467,16,0,1.98,249.08,1.81,20.69
20190808,4985600,1594,7,0,2.1,278.16,1.43,45.43
20190801,4985600,894,6,0,1.79,275.32,3.83,72.83
20190801,7963,2189,55,1,1.08,125.27,2.35,29.8
20190806,7963,2020,33,0,1.04,122.34,2.45,66.09
20190805,7963,1986,31,0,1.01,140.82,2.35,82.94
20190808,7963,3349,63,1,1.07,122.98,2.11,42.37
20190802,7963,2130,37,3,1.03,138.45,2.11,20.78
20190804,7963,2040,42,1,1.02,146.88,1.9,21.4
20190807,7963,1926,39,0,1.01,125.37,2.41,43.15
20190809,7963,1847,28,1,1.06,137.19,2.07,37.75
20190803,7963,2261,36,1,1.07,151.22,1.75,39.14
20190810,7963,1395,26,1,1.01,140.03,1.96,51.0
20190809,2593953,72,3,0,0.59,1006.3,3.0,58.33
20190807,2593953,83,6,0,0.81,859.67,1.5,14.5
20190806,2593953,87,5,0,0.82,686.67,1.2,17.8
20190802,2593953,91,5,0,0.81,708.75,1.8,38.6
20190808,2593953,51,1,0,0.84,1040.26,1.0,37.0
20190810,2593953,121,4,0,0.84,1137.47,2.0,29.25
20190803,2593953,70,6,0,0.82,635.52,1.17,10.0
20190801,2593953,74,4,0,0.81,799.72,1.25,49.25
20190805,2593953,114,3,0,0.56,722.74,3.0,20.33
20190804,2593953,54,5,0,0.82,629.5,1.0,9.6
20190807,5158280,174,5,0,0.82,111.53,2.0,15.0
20190804,5158280,129,3,0,0.85,103.33,4.0,4.33
20190810,5158280,97,1,0,0.78,128.54,3.0,34.0
20190802,5158280,202,8,0,0.75,124.6,1.38,8.63
20190808,5158280,187,2,0,0.5,134.68,2.5,31.0
20190803,5158280,144,4,0,0.8,141.58,2.25,18.75
20190801,5158280,187,9,0,0.84,148.76,2.78,11.22
20190806,5158280,234,7,0,0.84,102.61,2.14,2.0
20190809,5158280,216,5,0,0.67,111.43,2.4,23.4
20190805,5158280,245,5,0,0.57,125.96,5.2,38.8
20190809,8845,4589,70,0,1.85,251.94,3.31,55.93
20190805,8845,16042,148,1,2.17,233.3,2.86,52.53
20190802,8845,11196,77,0,1.97,210.68,2.57,37.92
20190803,8845,10541,82,1,1.98,252.38,2.93,46.99
20190804,8845,14925,97,0,1.9,241.72,3.25,57.93
20190807,8845,14856,95,0,1.94,246.27,3.24,55.17
20190810,8845,4130,50,0,1.83,305.53,3.48,64.94
20190801,8845,8843,56,1,1.87,206.11,3.2,48.96
20190808,8845,5909,55,0,1.75,251.21,3.16,55.38
20190806,8845,17562,142,0,2.14,224.15,3.02,50.83
20190805,1254846,66,2,0,0.66,238.89,5.0,24.5
20190806,1254846,47,1,0,0.66,89.82,3.0,163.0
20190810,1254846,57,2,0,0.66,332.38,5.0,107.0
20190803,1254846,29,3,0,0.66,191.6,2.67,48.33
20190802,1254846,33,1,0,0.66,238.88,3.0,132.0
20190807,1254846,41,2,0,0.66,193.6,3.0,78.0
20190808,1254846,72,7,0,0.54,240.06,2.43,105.71
20190804,1254846,21,1,0,0.66,112.36,1.0,14.0
20190809,1254846,39,3,0,0.66,131.79,3.67,63.33
20190809,1255025,21,2,0,1.19,72.32,1.0,9.5
20190806,1255025,6,1,0,0.93,70.89,3.0,3.0
20190802,921869,612,13,0,1.86,203.77,2.0,72.23
20190809,921869,333,10,0,1.67,218.68,2.1,39.1
20190808,921869,593,9,0,1.54,208.13,3.22,58.89
20190810,921869,255,7,0,1.7,192.68,4.14,23.71
20190803,921869,738,7,0,1.82,221.14,1.29,40.71
20190807,921869,207,3,0,1.78,150.1,2.67,86.67
20190801,921869,254,10,0,1.87,254.9,4.4,42.8
20190805,921869,1106,18,0,1.7,239.65,3.28,62.0
20190804,921869,283,7,0,1.89,189.53,2.57,51.0
20190806,921869,554,7,0,1.77,239.08,1.71,24.29
20190807,100939,9,1,0,2.44,182.19,1.0,12.0
20190808,100939,44,6,0,1.8,200.32,3.83,13.17
20190802,100939,28,2,0,2.09,130.37,2.5,3.5
20190804,100939,65,2,0,2.24,123.66,2.0,0.0
20190809,100939,30,1,0,2.09,190.14,4.0,10.0
20190806,100939,31,3,1,2.09,225.55,2.67,40.67
20190808,971225,24,2,0,0.41,90.52,2.0,5.5
20190802,971225,9,1,0,0.97,89.23,1.0,1.0
20190807,971225,13,1,0,0.9,71.09,2.0,115.0
20190801,971225,27,2,0,0.98,87.04,3.0,63.5
20190810,971225,20,1,0,0.87,70.99,2.0,6.0
20190806,971225,8,1,1,0.3,80.0,2.0,15.0
20190804,971225,5,1,0,0.95,65.1,1.0,329.0
20190802,1768863,65,2,0,0.93,137.19,2.5,164.5
20190807,1768863,265,10,0,0.95,129.87,4.6,82.0
20190809,1768863,161,7,0,0.8,167.97,2.86,92.14
20190804,1768863,116,4,0,1.08,220.71,5.75,124.25
20190806,1768863,155,6,0,1.15,145.42,7.17,144.33
20190803,1768863,132,7,0,0.81,160.93,6.57,99.71
20190810,1768863,88,6,0,0.81,131.14,3.83,50.83
20190805,1768863,103,3,0,1.15,138.61,4.33,95.0
20190808,1768863,333,11,0,0.78,137.97,6.45,71.64
20190802,3482094,3,1,0,0.67,225.72,4.0,35.0
20190804,3482094,5,1,0,0.66,224.63,2.0,2.0
20190806,104497,56,3,0,0.76,116.99,10.0,89.0
20190808,104497,38,1,0,0.95,71.62,1.0,19.0
20190802,3388306,27,2,0,0.49,71.15,2.5,8.5
20190807,3388306,9,1,0,0.48,70.32,1.0,26.0
20190809,3388306,15,1,0,0.48,70.48,3.0,32.0
20190808,3240336,3292,30,0,2.01,190.42,2.97,25.5
20190801,3240336,4838,38,2,1.99,230.52,3.18,61.76
20190809,3240336,3076,24,0,1.95,208.33,3.13,29.04
20190802,3240336,7323,52,2,1.83,217.08,1.73,22.06
20190804,3240336,5033,27,0,1.88,265.47,2.7,46.33
20190807,3240336,3289,27,1,2.0,235.91,2.59,37.33
20190805,3240336,6914,34,0,1.92,219.18,4.0,61.29
20190810,3240336,2987,31,1,2.14,220.71,3.68,45.48
20190806,3240336,5948,46,2,1.94,218.08,2.74,38.3
20190803,3240336,3625,37,3,1.88,254.37,2.16,30.41
20190804,104761,10,1,0,1.04,77.56,16.0,27.0
20190806,104761,29,1,0,0.58,119.7,2.0,10.0
20190809,104761,20,1,0,0.56,118.3,1.0,0.0
20190810,3957818,4,1,0,0.78,24.74,3.0,1.0
20190808,3957818,10,1,0,0.76,24.68,2.0,0.0
20190801,4415356,3,2,0,0.86,33.58,1.0,3.0
20190806,4415356,17,1,0,0.94,95.74,3.0,17.0
20190810,4415356,10,3,0,0.66,27.17,1.67,3.33
20190807,5144842,19,1,0,1.08,179.57,18.0,90.0
20190807,477971,22,1,0,1.12,34.68,1.0,1.0
20190803,477971,63,4,0,0.58,72.12,2.0,6.25
20190808,477971,38,1,1,1.12,39.45,3.0,0.0
20190801,477971,26,2,0,1.12,48.04,1.0,8.0
20190802,477971,71,3,0,0.79,48.85,2.0,167.0
20190810,477971,17,5,0,1.09,37.52,3.0,4.4
20190804,477971,33,1,0,1.11,37.43,1.0,1.0
20190806,477971,31,2,0,1.09,116.98,1.5,60.0
20190810,478096,26,1,0,1.45,109.85,4.0,2.0
20190806,478096,124,2,0,0.81,54.88,5.0,6.5
20190802,478096,37,2,0,1.16,57.86,6.0,76.0
20190803,478096,32,1,0,1.09,55.78,2.0,75.0
20190808,478096,48,1,0,1.34,108.35,4.0,55.0
20190805,478096,40,1,0,1.09,55.77,8.0,18.0
20190809,478096,59,5,0,1.42,57.27,5.0,27.8
20190801,1010151,7,1,0,0.78,60.5,3.0,1.0
20190808,1010151,54,2,0,0.83,63.68,2.0,38.0
20190807,3767170,1,1,0,0.56,51.55,1.0,18.0
20190809,4271496,1,1,0,0.38,15.78,3.0,1.0
20190802,107785,8,1,0,1.28,112.55,3.0,28.0
20190810,107785,0,1,0,1.25,122.3,2.0,23.0
20190804,107785,53,9,0,0.4,43.33,1.56,0.33
20190802,1719245,5,1,0,2.09,212.98,2.0,37.0
20190806,1719245,9,1,0,2.09,116.99,5.0,1.0
20190803,1359319,151,6,0,1.83,269.02,3.17,48.67
20190807,1359319,113,6,0,1.74,200.4,2.33,44.17
20190802,1359319,350,7,0,1.52,284.58,2.71,35.86
20190805,1359319,116,1,0,1.74,242.17,2.0,66.0
20190808,1359319,247,12,0,1.67,240.65,2.67,31.92
20190801,1359319,183,6,0,1.8,162.51,2.17,6.17
20190810,1359319,49,4,0,1.74,222.14,2.75,16.25
20190809,1359319,106,5,0,1.74,172.5,3.6,24.6
20190806,1359319,110,4,0,1.74,250.67,3.25,62.25
20190804,1359319,132,4,0,1.74,251.85,2.5,56.75
20190804,3148916,38,1,0,0.97,35.27,4.0,64.0
20190808,3148916,125,8,0,0.82,42.49,3.38,27.88
20190809,3148916,29,1,0,0.84,46.96,3.0,35.0
20190805,3148916,34,4,0,0.96,73.44,4.75,105.5
20190803,3148916,46,2,0,0.94,76.5,1.0,1.0
20190807,3148916,124,5,0,0.84,59.3,4.6,68.6
20190810,3148916,31,1,0,0.98,36.67,2.0,3.0
20190801,3148916,59,2,0,0.88,40.61,17.0,126.0
20190806,3148916,113,5,0,0.8,77.87,11.2,130.6
20190802,3148916,86,8,0,0.82,47.3,2.0,89.88
20190806,8633,4539,77,0,1.57,134.3,2.3,29.53
20190803,8633,1343,10,0,1.04,197.5,2.9,26.2
20190810,8633,6936,125,0,1.73,139.18,2.59,66.69
20190805,8633,2845,58,0,1.48,135.76,1.97,19.1
20190801,8633,4174,37,0,1.42,133.01,2.32,23.65
20190802,8633,1709,20,0,1.19,201.63,3.0,31.4
20190807,8633,3699,92,1,1.2,157.26,2.6,37.89
20190804,8633,1571,19,0,1.21,148.46,2.0,88.58
20190808,8633,6539,55,1,1.46,148.15,2.04,39.89
20190809,8633,9667,91,2,1.51,158.94,3.05,61.15
20190805,140199,2597,70,1,1.39,122.82,3.16,30.49
20190810,140199,1475,40,0,1.28,119.28,1.65,20.98
20190808,140199,3000,68,1,1.3,121.61,2.37,20.85
20190801,140199,1936,67,0,1.34,128.35,2.12,22.97
20190807,140199,1981,53,0,1.35,117.26,2.94,46.58
20190803,140199,3896,76,1,1.31,121.46,1.53,22.54
20190809,140199,1539,70,0,1.32,120.5,2.14,23.7
20190802,140199,2643,79,0,1.36,124.54,2.29,43.48
20190806,140199,1390,55,0,1.41,124.42,2.13,33.82
20190804,140199,1408,68,0,1.43,121.38,2.71,29.87
20190809,2477930,2,3,0,0.27,35.12,1.0,1.0
20190803,6551256,41,2,0,0.48,74.16,1.0,0.0
20190807,6551256,53,12,0,0.47,66.1,3.25,4.0
20190802,6551256,19,2,0,0.48,67.56,1.0,0.0
20190804,6551256,37,2,0,0.48,79.56,1.5,-1.0
20190810,6551256,51,3,0,0.37,87.76,1.33,0.0
20190809,6551256,31,1,0,0.47,75.94,1.0,7.0
20190805,7955,124,3,0,0.86,163.99,2.0,19.33
20190809,7955,140,3,0,1.07,336.31,26.67,36.0
20190802,7955,238,8,0,1.05,178.57,2.63,4.0
20190810,7955,261,5,0,1.08,294.07,3.0,22.0
20190803,7955,73,4,0,1.03,188.11,3.0,28.75
20190804,7955,198,7,0,1.02,210.3,1.86,50.14
20190807,7955,61,6,0,0.79,287.9,1.17,16.83
20190808,7955,56,2,0,0.13,196.97,1.0,11.5
20190801,7955,105,7,0,0.96,230.05,2.71,10.14
20190810,4004928,5,1,0,0.2,36.31,7.0,70.0
20190805,7943,1232,33,0,0.96,122.36,1.85,25.18
20190802,7943,2067,35,0,0.92,150.62,1.89,27.23
20190803,7943,1483,23,0,1.03,140.26,1.26,19.65
20190801,7943,1615,17,0,0.82,140.88,1.88,39.82
20190807,7943,4131,86,0,0.76,114.2,2.12,15.43
20190804,7943,1346,36,0,0.72,131.36,2.47,17.86
20190810,7943,1766,26,0,1.07,112.11,2.5,15.73
20190808,7943,2906,53,1,0.83,120.48,2.25,16.42
20190806,7943,1687,49,0,1.02,109.76,2.08,20.49
20190809,7943,2422,42,0,0.96,119.33,2.31,16.93
20190803,8815,225,14,0,0.91,267.43,2.07,20.79
20190807,8815,266,6,0,1.29,196.98,1.5,14.67
20190809,8815,400,12,0,1.29,178.5,2.42,40.0
20190805,8815,755,17,1,0.83,202.75,2.53,21.47
20190808,8815,332,19,1,0.91,203.54,2.0,49.0
20190804,8815,596,14,1,0.93,237.66,2.21,90.64
20190810,8815,575,17,1,1.18,208.33,2.47,26.35
20190806,8815,332,12,0,0.58,211.22,1.83,63.75
20190801,8815,214,9,0,0.41,221.26,2.22,99.67
20190802,8815,399,16,0,0.85,211.3,2.0,60.44
20190810,55885,1843,36,1,1.09,116.55,1.5,22.53
20190803,55885,300,26,0,1.12,114.96,1.81,27.65
20190808,55885,1829,16,0,0.84,144.65,2.13,41.06
20190801,55885,2250,29,1,0.98,153.76,1.93,74.97
20190809,55885,1576,25,0,1.02,154.24,2.52,76.64
20190807,55885,958,13,0,0.96,143.87,1.62,60.62
20190805,55885,1391,17,0,0.97,168.05,1.82,117.12
20190802,55885,1850,24,1,0.83,132.57,3.08,46.21
20190804,55885,1290,22,0,0.95,115.82,2.14,23.32
20190806,55885,1201,12,1,0.76,120.71,2.42,28.75
20190810,4529922,104,5,0,0.77,93.75,2.6,49.6
20190807,4529922,103,4,0,0.51,84.22,1.5,14.0
20190803,4529922,263,4,0,0.73,76.09,1.5,13.5
20190806,4529922,134,8,0,0.9,82.11,3.0,73.25
20190804,4529922,103,8,0,0.69,91.31,1.63,40.0
20190802,4529922,836,10,0,0.5,115.94,1.9,30.1
20190808,4529922,68,1,0,0.85,82.62,14.0,53.0
20190805,4529922,121,2,0,0.9,105.43,1.5,10.5
20190801,4529922,544,21,1,0.58,104.72,2.24,10.1
20190809,4529922,28,6,0,0.86,89.97,1.83,12.0
20190807,5144846,182,4,0,1.34,122.04,1.75,61.25
20190802,5144846,378,3,0,1.19,127.14,2.67,98.33
20190804,5144846,402,4,0,1.14,116.52,2.5,14.0
20190803,5144846,254,2,0,1.25,164.8,3.0,90.0
20190810,5144846,820,12,0,1.29,113.65,2.83,51.17
20190808,5144846,265,1,0,0.55,147.18,1.0,3.0
20190801,5144846,677,4,0,0.99,143.14,2.0,22.0
20190805,5144846,333,2,0,1.34,134.08,1.0,100.5
20190809,5144846,409,3,0,1.42,144.31,1.0,141.33
20190806,5144846,314,1,0,1.34,112.83,3.0,30.0
20190806,8800,817,14,0,1.29,194.44,2.5,41.57
20190807,8800,1919,25,0,1.33,197.84,4.44,84.84
20190802,8800,693,13,1,1.25,150.93,4.46,56.85
20190801,8800,633,12,0,0.9,221.31,3.08,27.0
20190805,8800,1698,15,0,1.45,187.52,3.53,86.93
20190803,8800,205,10,0,1.35,192.04,3.0,41.6
20190810,8800,472,10,0,1.62,180.21,4.5,14.4
20190809,8800,1071,13,0,1.44,187.73,3.62,62.08
20190808,8800,1932,21,0,1.25,224.71,3.24,49.0
20190804,8800,464,10,0,1.28,223.05,3.5,79.7
20190806,980255,1218,20,0,0.77,71.08,3.0,35.7
20190807,980255,1249,33,1,0.76,61.02,2.97,28.48
20190804,980255,619,40,0,0.78,64.09,1.85,40.48
20190809,980255,613,29,0,0.81,70.27,2.31,52.59
20190805,980255,689,25,1,0.78,62.79,2.44,36.88
20190810,980255,290,24,0,0.86,51.36,2.0,23.54
20190808,980255,794,31,0,0.8,62.3,2.45,26.42
20190803,980255,538,20,0,0.76,62.16,1.7,19.9
20190801,980255,688,33,0,0.78,56.64,2.52,20.18
20190802,980255,661,21,0,0.76,78.58,1.24,28.29
20190803,41270,23,1,0,2.03,140.87,10.0,17.0
20190802,41270,42,2,0,1.55,173.56,5.0,16.5
20190809,8718,202,6,1,1.46,231.38,4.5,105.67
20190807,8718,574,7,0,1.94,187.06,3.14,123.29
20190802,8718,2132,11,0,1.46,342.85,2.27,48.09
20190805,8718,1904,19,0,1.69,219.82,3.0,102.42
20190803,8718,749,11,1,1.7,252.56,3.91,111.82
20190810,8718,9,2,0,0.74,166.94,2.5,41.5
20190808,8718,203,4,0,1.58,229.65,3.75,173.75
20190804,8718,1513,11,0,1.64,182.72,2.55,62.91
20190801,8718,986,9,0,1.67,194.18,2.0,33.89
20190806,8718,1923,16,0,1.91,306.5,2.69,113.31
20190810,2837700,13,2,0,0.24,32.17,1.0,4.0
20190810,3059776,66,1,0,0.95,123.22,1.0,7.0
20190809,3059776,49,2,0,0.95,108.15,3.0,-0.5
20190806,3059776,48,1,0,0.97,118.17,3.0,2.0
20190805,3059776,47,1,0,0.97,80.37,1.0,3.0
20190801,3059776,88,2,0,0.87,98.93,3.0,0.0
20190803,3059776,57,2,0,0.97,98.28,2.0,0.0
20190804,941405,17,1,0,0.23,47.44,2.0,7.0
20190801,941405,9,2,0,0.54,60.39,3.0,15.0
20190810,2325976,9,1,0,0.91,93.08,1.0,22.0
20190808,2325976,16,1,0,0.91,93.75,1.0,25.0
20190809,2325976,8,2,0,0.91,93.72,5.0,9.0
20190806,57129,17,1,0,1.22,249.42,14.0,10.0
20190805,57129,15,3,1,1.22,217.36,1.0,12.0
20190807,57129,20,1,0,1.01,174.86,4.0,244.0
20190802,57129,20,1,0,1.22,178.17,3.0,286.0
20190801,57129,18,1,0,1.22,172.99,5.0,59.0
20190803,57129,24,3,0,1.22,224.72,1.0,19.0
20190803,5419264,0,1,0,0.38,89.48,1.0,-1.0
20190802,8720,1680,37,0,1.48,186.46,2.57,40.7
20190809,8720,1631,40,0,1.55,173.9,2.8,25.55
20190808,8720,1413,32,0,1.56,184.99,2.25,55.53
20190807,8720,1902,30,0,1.54,195.58,2.73,54.8
20190806,8720,2495,38,0,1.36,206.83,3.34,53.42
20190810,8720,1536,38,0,1.55,183.36,2.82,61.79
20190801,8720,2922,61,0,1.57,196.6,2.49,30.69
20190803,8720,688,17,0,1.53,174.29,1.94,10.06
20190804,8720,1521,33,0,1.39,206.23,2.61,59.88
20190805,8720,1493,40,0,1.47,192.2,2.33,53.25
20190801,41158,2,1,0,1.74,164.09,4.0,39.0
20190808,3137039,154,4,0,1.11,255.21,1.5,50.75
20190807,3137039,190,14,0,1.33,183.93,1.93,31.79
20190805,3137039,459,16,0,1.43,160.7,1.88,16.75
20190802,3137039,221,8,1,1.3,153.04,1.25,6.88
20190801,3137039,262,9,0,1.3,207.11,3.56,46.44
20190804,3137039,402,10,0,1.32,145.33,1.5,10.9
20190806,3137039,288,17,0,1.47,145.57,1.88,13.88
20190803,3137039,479,16,0,1.22,184.29,1.69,13.56
20190810,3137039,104,3,0,1.27,197.76,2.0,12.67
20190809,3137039,203,8,0,1.33,205.06,2.13,19.13
20190804,1390128,22,2,0,0.51,53.16,2.0,43.0
20190803,1390128,36,7,0,0.66,83.05,2.0,100.0
20190810,1390128,26,1,0,0.62,56.57,1.0,0.0
20190808,1390128,23,2,0,0.97,82.4,3.0,84.0
20190805,1390128,19,1,0,0.94,64.86,1.0,75.0
20190807,1390128,13,1,0,0.95,85.63,1.0,73.0
20190810,1271995,14,1,0,1.07,155.13,5.0,42.0
20190809,1271995,23,1,0,1.08,147.23,4.0,17.0
20190804,1271995,23,1,0,1.15,143.82,2.0,5.0
20190806,1271995,42,2,0,1.16,146.58,4.0,13.0
20190802,1271995,18,8,0,1.13,144.4,2.0,0.0
20190808,1271995,50,3,0,0.79,146.64,2.0,-0.33
20190803,1271995,39,1,0,1.15,148.32,1.0,4.0
20190808,3120550,42,3,0,1.81,166.76,2.33,105.33
20190809,3120550,38,4,0,1.45,235.34,1.25,46.75
20190803,3120550,344,6,0,1.72,219.89,2.5,42.5
20190806,3120550,572,16,0,1.25,229.88,2.56,85.56
20190802,3120550,498,6,0,2.07,166.09,1.67,51.0
20190801,3120550,812,8,0,1.41,171.58,4.25,66.38
20190804,3120550,417,4,0,1.53,166.04,1.25,18.75
20190805,3120550,196,8,0,1.75,166.08,2.5,109.25
20190808,6438418,5,1,0,0.55,39.77,2.0,43.0
20190803,443751,16,2,0,1.7,67.28,3.5,20.5
20190807,443751,33,3,0,1.63,95.94,7.67,11.33
20190806,443751,24,3,0,1.63,103.27,3.33,15.67
20190802,443751,29,6,0,1.49,96.26,7.67,95.67
20190804,443751,37,2,0,1.66,118.4,1.0,32.5
20190801,443751,16,1,0,1.69,92.89,6.0,40.0
20190809,3176710,0,1,0,0.48,85.79,7.0,99.0
20190805,104645,21,5,0,0.43,58.88,5.8,52.4
20190807,104645,16,1,0,0.84,84.19,1.0,58.0
20190802,104645,9,1,0,0.84,65.03,6.0,228.0
20190808,104645,21,1,0,0.85,103.9,8.0,163.0
20190808,1263022,49,8,0,0.05,96.27,5.0,39.63
20190809,1263022,51,3,0,0.05,92.01,4.67,33.33
20190805,1263022,46,5,0,0.05,87.09,3.8,24.2
20190807,1263022,34,3,0,0.05,93.57,4.33,58.33
20190810,1263022,46,4,0,0.05,96.85,5.75,80.0
20190806,1263022,55,2,0,0.05,85.71,3.0,49.0
20190801,1263022,46,3,0,0.07,89.66,5.33,54.0
20190802,1263022,22,1,0,0.05,102.24,3.0,13.0
20190801,9307312,39,1,0,1.28,107.74,1.0,17.0
20190802,9307312,33,1,0,1.28,107.1,1.0,16.0
20190809,9307312,98,1,0,1.51,151.5,2.0,11.0
20190807,9307312,46,1,0,1.48,136.41,3.0,8.0
20190808,9307312,77,1,0,1.45,98.61,1.0,10.0
20190806,9307312,45,1,0,1.34,151.99,2.0,21.0
20190804,9307312,27,1,0,1.28,202.48,4.0,124.0
20190809,153209,183,8,0,1.21,194.34,2.25,40.5
20190804,153209,485,21,0,1.43,173.29,2.38,45.05
20190801,153209,1376,33,0,1.18,173.48,2.18,20.03
20190806,153209,497,9,1,1.13,221.84,2.56,33.11
20190802,153209,408,11,0,1.39,200.13,2.45,29.0
20190810,153209,186,4,0,1.32,201.48,2.0,34.0
20190805,153209,449,14,1,1.18,192.63,3.14,41.29
20190803,153209,598,11,0,1.3,225.08,3.27,42.0
20190808,153209,470,18,1,1.06,161.59,1.94,3.33
20190807,153209,502,14,0,0.86,187.62,3.57,26.93
20190803,2293866,0,1,0,0.73,60.05,2.0,9.0
20190802,5435028,76,3,0,1.16,103.57,1.0,33.67
20190809,5435028,633,15,0,0.97,101.24,2.8,42.0
20190801,5435028,84,3,0,0.93,116.27,2.67,108.33
20190806,5435028,78,2,0,0.62,101.35,4.0,16.5
20190810,5435028,464,6,0,1.03,104.46,1.17,40.83
20190804,5435028,38,1,0,1.09,83.56,1.0,21.0
